[0, 0, 7, 1, 35]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_2B_fused_Ch.cif|20.54628
[0, 0, 7, 1, 41]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_2N_Ch.cif|19.90847
[0, 0, 7, 1, 36]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_2TrU_Ch.cif|20.91584
[0, 0, 7, 1, 37]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_3B_4H_Ch.cif|20.72658
[0, 0, 7, 1, 38]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_3B_fused_8H_Ch.cif|21.19162
[0, 0, 7, 1, 39]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_4B_fused_8H_Ch.cif|20.64911
[0, 0, 7, 1, 40]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2Br_Ch_ntn_edge.cif|19.37047
[0, 0, 7, 2, 2]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2CF3_Ch.cif|18.96857
[0, 0, 7, 2, 0]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2CF3_Ch_1B_1TrU_Ch.cif|20.62420
[0, 0, 7, 2, 1]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2CF3_Ch_1B_2Br_Ch.cif|19.83096
[0, 0, 7, 2, 12]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2CF3_Ch_1B_2_Ch.cif|21.19588
[0, 0, 7, 2, 3]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2CF3_Ch_1B_2CH3_Ch.cif|20.32149
[0, 0, 7, 2, 4]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2CF3_Ch_1B_2CN_Ch.cif|19.82899
[0, 0, 7, 2, 5]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2CF3_Ch_1B_2DoU_Ch.cif|21.29798
[0, 0, 7, 2, 6]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2CF3_Ch_1B_2F_Ch.cif|20.56481
[0, 0, 7, 2, 13]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2CF3_Ch_1B_2furan_Ch.cif|21.08505
[0, 0, 7, 2, 14]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2CF3_Ch_1B_2indole_Ch.cif|20.50209
[0, 0, 7, 2, 7]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2CF3_Ch_1B_2NH2_Ch.cif|19.71736
[0, 0, 7, 2, 8]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2CF3_Ch_1B_2NO2_Ch.cif|19.52917
[0, 0, 7, 2, 9]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2CF3_Ch_1B_2OH_Ch.cif|20.34833
[0, 0, 7, 2, 10]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2CF3_Ch_1B_2SH_Ch.cif|20.08972
[0, 0, 7, 2, 15]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2CF3_Ch_1B_2thiophene_Ch.cif|20.78249
[0, 0, 7, 2, 11]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2CF3_Ch_1B_2TrU.cif|21.42744
[0, 0, 7, 2, 16]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2CF3_Ch_1B_4H_Ch.cif|20.96856
[0, 0, 7, 2, 17]|fof_v1-3c_1BN_3B_Ch_v2-4c_Co_1_Ch_1B_2CF3_Ch_1DoU_Ch.cif|20.02509
